seed_dir,method,n_features,features,accuracy,roc_auc,average_precision,log_loss
minimal_seed53,weak_price_only,1,price,0.812,0.5368541033434651,0.2502406683298976,0.4825745446616025
minimal_seed53,ranker_top4,4,"event_count,rating_mean,brand_category_entropy,price",0.81,0.6762655906089509,0.31368029074299764,0.454823070909751
minimal_seed53,oracle,4,"event_count,rating_mean,brand_category_entropy,price",0.81,0.6762655906089509,0.31368029074299764,0.454823070909751
minimal_seed53,random_top4,4,mean_of_10_random_draws,0.8106,0.5775128393250183,0.257485488151341,0.4775894674812064
minimal_seed54,weak_price_only,1,price,0.84,0.4866666666666667,0.15961332267089645,0.4410732314067952
minimal_seed54,ranker_top4,4,"event_count,rating_mean,brand_category_entropy,price",0.838,0.6155654761904762,0.23134241103735756,0.4392905783093782
minimal_seed54,oracle,4,"event_count,rating_mean,brand_category_entropy,price",0.838,0.6155654761904762,0.23134241103735756,0.4392905783093782
minimal_seed54,random_top4,4,mean_of_10_random_draws,0.8390000000000001,0.579139880952381,0.2073896892483426,0.44328422675130297
minimal_seed55,weak_price_only,1,price,0.82,0.5621409214092141,0.23101403745413848,0.47781293593030655
minimal_seed55,ranker_top4,4,"event_count,rating_mean,brand_category_entropy,days_since_last_event",0.82,0.6331978319783198,0.27790170914618995,0.4695726607096339
minimal_seed55,oracle,4,"event_count,rating_mean,brand_category_entropy,price",0.82,0.6497289972899729,0.2962922066687418,0.4666221616119932
minimal_seed55,random_top4,4,mean_of_10_random_draws,0.8208,0.5786490514905149,0.2544154766022422,0.47376565918406194
minimal_seed56,weak_price_only,1,price,0.82,0.4610433604336044,0.1724559672708979,0.47850419557003326
minimal_seed56,ranker_top4,4,"event_count,rating_mean,brand_category_entropy,price",0.82,0.6235230352303522,0.2744412334872741,0.46691372918442514
minimal_seed56,oracle,4,"event_count,rating_mean,brand_category_entropy,price",0.82,0.6235230352303522,0.2744412334872741,0.46691372918442514
minimal_seed56,random_top4,4,mean_of_10_random_draws,0.82,0.5829566395663957,0.23588490640880755,0.4713348308372759
minimal_seed57,weak_price_only,1,price,0.846,0.5930735930735931,0.22252020295772984,0.42366325195969634
minimal_seed57,ranker_top4,4,"event_count,rating_mean,brand_category_entropy,price",0.844,0.6458506032974118,0.28667550658171337,0.411792471571863
minimal_seed57,oracle,4,"event_count,rating_mean,brand_category_entropy,price",0.844,0.6458506032974118,0.28667550658171337,0.411792471571863
minimal_seed57,random_top4,4,mean_of_10_random_draws,0.8443999999999999,0.6152451567345184,0.2311541270662723,0.41992329717541044
minimal_seed58,weak_price_only,1,price,0.84,0.5405803571428571,0.2052768049472166,0.4412929740440089
minimal_seed58,ranker_top4,4,"event_count,rating_mean,brand_category_entropy,price",0.838,0.6530059523809524,0.257968931505941,0.42633218359306607
minimal_seed58,oracle,4,"event_count,rating_mean,brand_category_entropy,price",0.838,0.6530059523809524,0.257968931505941,0.42633218359306607
minimal_seed58,random_top4,4,mean_of_10_random_draws,0.8382,0.5763482142857143,0.22253865982142257,0.43646997981345315
minimal_seed59,weak_price_only,1,price,0.85,0.5553098039215686,0.1895315121372344,0.4227436368489437
minimal_seed59,ranker_top4,4,"event_count,rating_mean,brand_category_entropy,price",0.85,0.6834196078431373,0.277853886203298,0.3973925114634261
minimal_seed59,oracle,4,"event_count,rating_mean,brand_category_entropy,price",0.85,0.6834196078431373,0.277853886203298,0.3973925114634261
minimal_seed59,random_top4,4,mean_of_10_random_draws,0.851,0.5817662745098039,0.23553199383970425,0.4170228782576614
minimal_seed60,weak_price_only,1,price,0.844,0.5642392757321667,0.20238239758820786,0.42960904007246686
minimal_seed60,ranker_top4,4,"event_count,rating_mean,brand_category_entropy,price",0.844,0.6915785636164783,0.3111769459469393,0.4031993000942707
minimal_seed60,oracle,4,"event_count,rating_mean,brand_category_entropy,price",0.844,0.6915785636164783,0.3111769459469393,0.4031993000942707
minimal_seed60,random_top4,4,mean_of_10_random_draws,0.8443999999999999,0.5902539798274394,0.2291245291179586,0.42526971812940745
