seed_dir,random_rep,method,n_features,features,accuracy,roc_auc,average_precision,log_loss
minimal_seed53,0,random_top4,4,"brand_category_support_count,event_count,brand,brand_category_entropy",0.812,0.6814275233204067,0.33135200387335073,0.45406225307210524
minimal_seed53,1,random_top4,4,"event_count,category,price,brand_category_support_count",0.814,0.6825804423016456,0.3133064602744559,0.45371416831678635
minimal_seed53,2,random_top4,4,"price,brand_category_conflict_count,amount_mean,rating_mean",0.802,0.516481500890892,0.22516986000045874,0.5001721196670497
minimal_seed53,3,random_top4,4,"brand_category_majconf,price,brand_category_support_count,amount_mean",0.812,0.538648988575621,0.23539186166849446,0.48127091408530953
minimal_seed53,4,random_top4,4,"brand_category_conflict_count,brand,price,amount_mean",0.812,0.5383607588303113,0.24959785853384736,0.48033382011239245
minimal_seed53,5,random_top4,4,"brand,brand_category_entropy,rating_mean,brand_category_majconf",0.812,0.5920500995702757,0.24129390715268026,0.47948525144821624
minimal_seed53,6,random_top4,4,"category,brand_category_conflict_count,rating_mean,amount_mean",0.812,0.5573577193166335,0.24310527517016456,0.47994210274399934
minimal_seed53,7,random_top4,4,"price,amount_mean,rating_mean,brand",0.808,0.49494287810502047,0.21922302771186308,0.49128568949742424
minimal_seed53,8,random_top4,4,"amount_mean,days_since_last_event,brand_category_entropy,rating_mean",0.812,0.6302536421758725,0.28805873247498487,0.46643793496108615
minimal_seed53,9,random_top4,4,"price,brand_category_support_count,brand_category_majconf,category",0.81,0.5430248401635048,0.22835589465311007,0.4891904209076949
minimal_seed54,0,random_top4,4,"category,event_count,price,amount_mean",0.838,0.595654761904762,0.2005507622047039,0.44626431857225557
minimal_seed54,1,random_top4,4,"category,amount_mean,price,brand_category_support_count",0.84,0.5405952380952381,0.18538714505229112,0.45775109061947283
minimal_seed54,2,random_top4,4,"price,days_since_last_event,brand_category_support_count,brand_category_conflict_count",0.84,0.5694345238095238,0.23091008330317797,0.4343427645835711
minimal_seed54,3,random_top4,4,"brand_category_entropy,category,amount_mean,event_count",0.838,0.5867261904761905,0.19479176147589986,0.45071692820477044
minimal_seed54,4,random_top4,4,"brand_category_conflict_count,category,price,brand",0.84,0.5485863095238095,0.18587640658753668,0.4398991162010534
minimal_seed54,5,random_top4,4,"price,brand_category_entropy,rating_mean,brand_category_conflict_count",0.834,0.6008333333333333,0.24032526146064767,0.435721006030954
minimal_seed54,6,random_top4,4,"brand_category_support_count,event_count,category,brand_category_conflict_count",0.84,0.583764880952381,0.201962181934515,0.4471806107020236
minimal_seed54,7,random_top4,4,"event_count,brand_category_majconf,brand_category_conflict_count,price",0.842,0.6107738095238096,0.221094829968637,0.4388355926961138
minimal_seed54,8,random_top4,4,"amount_mean,event_count,days_since_last_event,brand_category_majconf",0.838,0.5944345238095239,0.2009637308796009,0.44571959830105706
minimal_seed54,9,random_top4,4,"brand_category_support_count,category,brand_category_entropy,days_since_last_event",0.84,0.5605952380952381,0.2120347296164164,0.43641124160175787
minimal_seed55,0,random_top4,4,"category,brand,brand_category_support_count,brand_category_majconf",0.82,0.47574525745257457,0.17047560326391153,0.4815876252808482
minimal_seed55,1,random_top4,4,"brand_category_support_count,brand_category_entropy,price,days_since_last_event",0.82,0.5997018970189703,0.2574194830314477,0.469771768750766
minimal_seed55,2,random_top4,4,"brand_category_support_count,brand,brand_category_entropy,amount_mean",0.82,0.48840108401084015,0.19767362301369246,0.4867094332614227
minimal_seed55,3,random_top4,4,"days_since_last_event,brand_category_entropy,rating_mean,brand_category_majconf",0.822,0.6299457994579946,0.30831998155654977,0.4638914877559672
minimal_seed55,4,random_top4,4,"brand_category_majconf,amount_mean,brand_category_support_count,rating_mean",0.82,0.5699051490514905,0.2607921721696481,0.48873819995651785
minimal_seed55,5,random_top4,4,"brand_category_conflict_count,brand,rating_mean,days_since_last_event",0.822,0.6378861788617887,0.3080683182479839,0.46358032573424063
minimal_seed55,6,random_top4,4,"event_count,price,brand_category_entropy,category",0.822,0.6324661246612465,0.30415131722667416,0.4641527549261461
minimal_seed55,7,random_top4,4,"price,brand_category_entropy,amount_mean,days_since_last_event",0.822,0.58710027100271,0.2568882236441275,0.4741963366525556
minimal_seed55,8,random_top4,4,"brand_category_majconf,brand_category_support_count,price,brand_category_conflict_count",0.82,0.5328997289972899,0.2089498961437607,0.4805344023691152
minimal_seed55,9,random_top4,4,"days_since_last_event,category,event_count,brand_category_entropy",0.82,0.6324390243902439,0.2714161477246261,0.46449425715304027
minimal_seed56,0,random_top4,4,"rating_mean,amount_mean,brand_category_majconf,event_count",0.82,0.6289430894308943,0.26290324994862746,0.46861651909930513
minimal_seed56,1,random_top4,4,"brand_category_majconf,category,brand_category_conflict_count,rating_mean",0.82,0.49294037940379404,0.19551523923661243,0.4774769370493766
minimal_seed56,2,random_top4,4,"event_count,brand_category_majconf,brand_category_entropy,price",0.82,0.6334146341463414,0.2588676902430907,0.46770554333364367
minimal_seed56,3,random_top4,4,"brand_category_conflict_count,event_count,brand,rating_mean",0.82,0.6320867208672086,0.25254032276026817,0.46806843516524044
minimal_seed56,4,random_top4,4,"event_count,brand_category_conflict_count,price,category",0.82,0.6328455284552846,0.2570220063886024,0.46810618744520155
minimal_seed56,5,random_top4,4,"category,brand_category_entropy,brand_category_majconf,rating_mean",0.82,0.48960704607046074,0.18580964362807098,0.4773282732545294
minimal_seed56,6,random_top4,4,"amount_mean,brand_category_support_count,rating_mean,event_count",0.82,0.6130623306233063,0.25298318113883794,0.47071610898821564
minimal_seed56,7,random_top4,4,"price,brand_category_conflict_count,event_count,brand",0.82,0.6315447154471544,0.25136912519702587,0.46805240106309043
minimal_seed56,8,random_top4,4,"price,brand_category_entropy,rating_mean,brand_category_conflict_count",0.82,0.487479674796748,0.1860100612465586,0.47765686147925157
minimal_seed56,9,random_top4,4,"brand_category_entropy,brand_category_support_count,days_since_last_event,amount_mean",0.82,0.5876422764227642,0.25582854430038077,0.46962104149490463
minimal_seed57,0,random_top4,4,"brand_category_support_count,brand,brand_category_entropy,brand_category_conflict_count",0.846,0.5325289367842558,0.19537730647960647,0.4278944801629369
minimal_seed57,1,random_top4,4,"event_count,brand_category_entropy,price,brand_category_support_count",0.844,0.640661938534279,0.24061875129353832,0.41525045829751345
minimal_seed57,2,random_top4,4,"price,brand_category_conflict_count,event_count,amount_mean",0.846,0.6476927327991158,0.2633809293269119,0.4132651701920117
minimal_seed57,3,random_top4,4,"brand_category_support_count,event_count,category,rating_mean",0.844,0.6369469773725093,0.2793820797700717,0.4149328391002277
minimal_seed57,4,random_top4,4,"price,event_count,category,brand_category_support_count",0.844,0.6462190291977526,0.26322088926768167,0.4136514461444694
minimal_seed57,5,random_top4,4,"brand_category_entropy,brand,brand_category_support_count,amount_mean",0.846,0.5885143225568757,0.18819054675380714,0.42906537691370034
minimal_seed57,6,random_top4,4,"price,brand_category_entropy,amount_mean,rating_mean",0.844,0.6258020938872002,0.2508146420608667,0.4167394557135923
minimal_seed57,7,random_top4,4,"amount_mean,days_since_last_event,brand_category_majconf,brand_category_entropy",0.844,0.5900647815541432,0.19506304592940388,0.42683207868014267
minimal_seed57,8,random_top4,4,"brand_category_entropy,brand,event_count,brand_category_support_count",0.842,0.6334469313192717,0.23456925181155386,0.4177203653572651
minimal_seed57,9,random_top4,4,"brand_category_conflict_count,brand,days_since_last_event,amount_mean",0.844,0.6105738233397808,0.20092382796928154,0.42388130119224476
minimal_seed58,0,random_top4,4,"brand_category_majconf,brand,amount_mean,brand_category_conflict_count",0.836,0.5564583333333334,0.20141769953794653,0.43972228827625987
minimal_seed58,1,random_top4,4,"price,brand_category_conflict_count,brand_category_support_count,brand_category_majconf",0.84,0.5253125000000001,0.19849013284716716,0.43852951263240125
minimal_seed58,2,random_top4,4,"price,days_since_last_event,amount_mean,brand_category_conflict_count",0.842,0.5713095238095238,0.226816498376283,0.4418602954473083
minimal_seed58,3,random_top4,4,"brand,brand_category_conflict_count,brand_category_majconf,brand_category_entropy",0.84,0.5655208333333335,0.2173529022472686,0.4385838021799943
minimal_seed58,4,random_top4,4,"days_since_last_event,brand_category_entropy,brand,price",0.842,0.5679761904761904,0.2250318229539156,0.44068106854326267
minimal_seed58,5,random_top4,4,"brand_category_majconf,brand_category_conflict_count,brand_category_support_count,price",0.84,0.5421577380952382,0.2031285280581393,0.4380859748625915
minimal_seed58,6,random_top4,4,"brand_category_majconf,brand_category_entropy,event_count,amount_mean",0.832,0.6438690476190476,0.2582759568511869,0.42776961358563864
minimal_seed58,7,random_top4,4,"price,brand,brand_category_entropy,brand_category_majconf",0.84,0.5336160714285714,0.20275525300854227,0.4383271761661324
minimal_seed58,8,random_top4,4,"days_since_last_event,rating_mean,brand_category_entropy,category",0.836,0.6073809523809524,0.23735321208587248,0.43193511467695267
minimal_seed58,9,random_top4,4,"brand_category_support_count,price,brand_category_entropy,event_count",0.834,0.6498809523809523,0.2547645922479036,0.4292049517639906
minimal_seed59,0,random_top4,4,"brand_category_conflict_count,rating_mean,category,brand_category_majconf",0.85,0.6251450980392157,0.25825166921798004,0.41377796326027827
minimal_seed59,1,random_top4,4,"event_count,category,days_since_last_event,brand",0.852,0.6835294117647059,0.26119459212445817,0.3982375972014021
minimal_seed59,2,random_top4,4,"category,brand_category_support_count,brand_category_conflict_count,event_count",0.85,0.6826509803921569,0.26237301062267726,0.3987234278524138
minimal_seed59,3,random_top4,4,"price,brand_category_majconf,brand_category_conflict_count,brand_category_entropy",0.85,0.5648941176470588,0.19965922231083308,0.42082799132097976
minimal_seed59,4,random_top4,4,"days_since_last_event,amount_mean,category,brand_category_conflict_count",0.852,0.5313882352941176,0.21861011350914203,0.43153719116729417
minimal_seed59,5,random_top4,4,"brand_category_conflict_count,category,amount_mean,rating_mean",0.854,0.4998901960784314,0.22900749295261819,0.4287252752467035
minimal_seed59,6,random_top4,4,"brand,amount_mean,price,brand_category_support_count",0.85,0.49364705882352944,0.21026511641263257,0.4293574512074933
minimal_seed59,7,random_top4,4,"amount_mean,brand_category_majconf,category,brand_category_conflict_count",0.854,0.4818509803921568,0.21165248870480072,0.4323959701282144
minimal_seed59,8,random_top4,4,"rating_mean,brand_category_conflict_count,price,brand_category_majconf",0.848,0.5743058823529412,0.2434184731431247,0.4177094121600146
minimal_seed59,9,random_top4,4,"brand_category_conflict_count,brand,event_count,brand_category_entropy",0.85,0.6803607843137256,0.26088775939877556,0.3989365030318199
minimal_seed60,0,random_top4,4,"brand_category_support_count,price,brand_category_majconf,brand_category_entropy",0.844,0.5879207680155547,0.23413183120960876,0.42821025010378355
minimal_seed60,1,random_top4,4,"amount_mean,days_since_last_event,brand_category_entropy,category",0.844,0.5806598614655486,0.21210283029419158,0.4277885882693523
minimal_seed60,2,random_top4,4,"category,price,rating_mean,event_count",0.844,0.6816745655608214,0.27395164793305526,0.40757222964775347
minimal_seed60,3,random_top4,4,"brand,brand_category_majconf,rating_mean,brand_category_entropy",0.844,0.5340563859521206,0.2032030078914274,0.4324337117842645
minimal_seed60,4,random_top4,4,"brand_category_conflict_count,brand_category_majconf,brand_category_support_count,category",0.844,0.5179092234779438,0.17513031611404278,0.4329208281256007
minimal_seed60,5,random_top4,4,"brand_category_entropy,brand_category_majconf,days_since_last_event,amount_mean",0.844,0.5974602017256045,0.23707028352667917,0.4276857445456611
minimal_seed60,6,random_top4,4,"price,brand,category,event_count",0.844,0.7075890144610524,0.3172431134593102,0.4009999950341392
minimal_seed60,7,random_top4,4,"brand_category_support_count,brand_category_majconf,days_since_last_event,brand",0.844,0.6001032932312553,0.20922256973771786,0.4290891645477938
minimal_seed60,8,random_top4,4,"amount_mean,brand,price,brand_category_support_count",0.848,0.5047089561307571,0.1961649640326672,0.4366350906616126
minimal_seed60,9,random_top4,4,"days_since_last_event,brand,amount_mean,rating_mean",0.844,0.5904575282537368,0.23302472698088603,0.4293615785741124
