dataset,task,task_type,completion_status,seeds_found,gate_outcomes,selected_residual_count,comparison_scope,gate_mode,primary_metric,secondary_metric,strict_gate,mean_primary_improvement,primary_improvements,secondary_improvements,gate_reason,mismatch_class,recommended_appendix_gate,recommended_action,strict_seed_audit_available,appendix_gate_provenance
dbinfer-avs,repeater,binary_classification,COMPLETE_EVALUATED_SELECT,41;42;43;44,SELECT,,,,,,,,,,,,,,False,legacy_inventory
dbinfer-retailrocket,cvr,binary_classification,COMPLETE_EVALUATED_SELECT,41;42;43;44,SELECT,,,,,,,,,,,,,,False,legacy_inventory
rel-amazon,item-churn,binary_classification,COMPLETE_EVALUATED_SELECT,41;42;43;44,SELECT,8.0,dfs_vs_fdhg,single_metric,roc_auc,,SELECT,0.001064449369393261,0.000893151376839|0.0011472781868|0.000979891585162|0.00123747632877,,all_seeds_strictly_pass,agreement,SELECT,No change.,True,strict_seed_audit
rel-amazon,item-ltv,regression,COMPLETE_EVALUATED_SELECT,41;42;43;44,SELECT,,,,,,,,,,,,,,False,legacy_inventory
rel-amazon,review-rating,regression,COMPLETE_NOT_EVALUATED,,NOT_EVALUATED,0.0,,,,,,,,,,,,,False,legacy_inventory
rel-amazon,user-churn,binary_classification,COMPLETE_FALLBACK,41;42;43;44,FALLBACK,0.0,dfs_vs_fdhg,single_metric,roc_auc,,FALLBACK,0.0,0|0|0|0,,primary_metric_seed_inconsistency_fallback,agreement,FALLBACK,No change.,True,strict_seed_audit
rel-amazon,user-ltv,regression,COMPLETE_FALLBACK,41,FALLBACK,0.0,,,,,,,,,,,,,False,legacy_inventory
rel-arxiv,author-publication,regression,COMPLETE_FALLBACK,,FALLBACK,0.0,,,,,,,,,,,,,False,legacy_inventory
rel-arxiv,paper-citation,binary_classification,COMPLETE_FALLBACK,41;42;43;44,FALLBACK,0.0,dfs_vs_fdhg,single_metric,log_loss,,FALLBACK,0.0,0|0|0|0,,primary_metric_seed_inconsistency_fallback,agreement,FALLBACK,No change.,True,strict_seed_audit
rel-avito,ad-ctr,regression,COMPLETE_FALLBACK,41,FALLBACK,0.0,,,,,,,,,,,,,False,legacy_inventory
rel-avito,searchinfo-isuserloggedon,binary_classification,COMPLETE_EVALUATED_SELECT,41;42;43;44,SELECT,8.0,,,,,,,,,,,,,False,legacy_inventory
rel-avito,searchstream-click,binary_classification,COMPLETE_FALLBACK,41;42;43;44,FALLBACK,0.0,,,,,,,,,,,,,False,legacy_inventory
rel-avito,user-clicks,binary_classification,COMPLETE_FALLBACK,41,FALLBACK,0.0,,,,,,,,,,,,,False,legacy_inventory
rel-avito,user-visits,binary_classification,COMPLETE_FALLBACK,41,FALLBACK,0.0,,,,,,,,,,,,,False,legacy_inventory
rel-event,event_interest-interested,binary_classification,COMPLETE_EVALUATED_SELECT,41;42;43;44,SELECT,8.0,,,,,,,,,,,,,False,legacy_inventory
rel-event,event_interest-not_interested,binary_classification,COMPLETE_EVALUATED_SELECT,41;42;43;44,SELECT,8.0,,,,,,,,,,,,,False,legacy_inventory
rel-event,user-attendance,regression,COMPLETE_EVALUATED_SELECT,41;42;43;44,SELECT,8.0,,,,,,,,,,,,,False,legacy_inventory
rel-event,user-ignore,binary_classification,COMPLETE_EVALUATED_SELECT,41;42;43;44,SELECT,8.0,,,,,,,,,,,,,False,legacy_inventory
rel-event,user-repeat,binary_classification,COMPLETE_FALLBACK,41,FALLBACK,0.0,,,,,,,,,,,,,False,legacy_inventory
rel-event,users-birthyear,regression,COMPLETE_EVALUATED_SELECT,41;42;43;44,SELECT,8.0,,,,,,,,,,,,,False,legacy_inventory
rel-f1,driver-dnf,binary_classification,COMPLETE_FALLBACK,41;42;43;44,FALLBACK,,dfs_vs_fdhg,single_metric,roc_auc,,SELECT,0.013029478458049887,0.0105034013605|0.00382766439909|0.0144580498866|0.0233287981859,,all_seeds_strictly_pass,comparison_scope_mismatch,FALLBACK,Keep fallback because the archived decision uses a stronger temporal baseline than DFS alone.,True,stronger_baseline_retained
rel-f1,driver-position,regression,COMPLETE_EVALUATED_SELECT,41;42;43;44,SELECT,4.0,,,,,,,,,,,,,False,legacy_inventory
rel-f1,driver-top3,binary_classification,COMPLETE_EVALUATED_SELECT,41;42;43;44,SELECT,4.0,,,,,,,,,,,,,False,legacy_inventory
rel-f1,qualifying-position,regression,COMPLETE_FALLBACK,41;42;43;44,FALLBACK,0.0,,,,,,,,,,,,,False,legacy_inventory
rel-f1,results-position,regression,COMPLETE_EVALUATED_SELECT,41;42;43;44,SELECT,4.0,,,,,,,,,,,,,False,legacy_inventory
rel-hm,item-sales,regression,COMPLETE_FALLBACK,41;42;43;44,FALLBACK,0.0,,,,,,,,,,,,,False,legacy_inventory
rel-hm,transactions-price,regression,COMPLETE_EVALUATED_SELECT,41;42;43;44,SELECT,1.0,,,,,,,,,,,,,False,legacy_inventory
rel-hm,user-churn,binary_classification,COMPLETE_FALLBACK,41;42;43;44,FALLBACK,8.0,,,,,,,,,,,,,False,legacy_inventory
rel-ratebeer,beer-churn,binary_classification,COMPLETE_EVALUATED_SELECT,,SELECT,8.0,dfs_vs_fdhg,single_metric,log_loss,,SELECT,0.0025462555215529092,0.00128167893114|0.00354519894589|0.00270361661673|0.00265452759246,,all_seeds_strictly_pass,agreement,SELECT,No change.,True,strict_seed_audit
rel-ratebeer,beer_ratings-total_score,regression,COMPLETE_FALLBACK,41;42;43;44,FALLBACK,0.0,dfs_vs_fdhg,single_metric,rmse,,FALLBACK,0.0,0|0|0|0,,primary_metric_seed_inconsistency_fallback,agreement,FALLBACK,No change.,True,strict_seed_audit
rel-ratebeer,brewer-dormant,binary_classification,COMPLETE_FALLBACK,,FALLBACK,0.0,dfs_vs_fdhg,single_metric,log_loss,,FALLBACK,-0.0002073574604898598,-0.000226141872645|5.20038895813e-05|-0.000283916666298|-0.000371375192599,,primary_metric_seed_inconsistency_fallback,agreement,FALLBACK,No change.,True,strict_seed_audit
rel-ratebeer,user-churn,binary_classification,COMPLETE_FALLBACK,,FALLBACK,0.0,dfs_vs_fdhg,single_metric,log_loss,,FALLBACK,0.00042061442824378736,0.000723454469473|0.00106312250843|0.000754158213803|-0.000858277478735,,primary_metric_seed_inconsistency_fallback,agreement,FALLBACK,No change.,True,strict_seed_audit
rel-ratebeer,user-count,regression,COMPLETE_EVALUATED_SELECT,,SELECT,8.0,dfs_vs_fdhg,single_metric,rmse,,SELECT,1.6189604369035546,1.61774664558|1.76313103555|1.49794398087|1.59702008561,,all_seeds_strictly_pass,agreement,SELECT,No change.,True,strict_seed_audit
rel-salt,item-incoterms,multiclass_classification,COMPLETE_FALLBACK,,FALLBACK,,dfs_vs_fdhg,single_metric,accuracy,,FALLBACK,0.002625000000000016,0.0105|0.01|-0.003|-0.007,,primary_metric_seed_inconsistency_fallback,agreement,FALLBACK,No change.,True,strict_seed_audit
rel-salt,item-plant,multiclass_classification,COMPLETE_FALLBACK,,FALLBACK,,dfs_vs_fdhg,single_metric,accuracy,,FALLBACK,-0.000751879699248309,0.00200501253133|-0.00350877192982|-0.00300751879699|0.0015037593985,,primary_metric_seed_inconsistency_fallback,agreement,FALLBACK,No change.,True,strict_seed_audit
