dataset,task,task_type,legacy_gate,comparison_scope,gate_mode,primary_metric,secondary_metric,strict_gate,gate_matches_legacy,all_seeds_pass,missing_seeds,mean_primary_improvement,primary_improvements,secondary_improvements,gate_reason
rel-amazon,item-churn,binary_classification,SELECT,dfs_vs_fdhg,single_metric,roc_auc,,SELECT,True,True,,0.001064449369393261,0.000893151376839|0.0011472781868|0.000979891585162|0.00123747632877,,all_seeds_strictly_pass
rel-amazon,user-churn,binary_classification,FALLBACK,dfs_vs_fdhg,single_metric,roc_auc,,FALLBACK,True,False,,0.0,0|0|0|0,,primary_metric_seed_inconsistency_fallback
rel-arxiv,paper-citation,binary_classification,FALLBACK,dfs_vs_fdhg,single_metric,log_loss,,FALLBACK,True,False,,0.0,0|0|0|0,,primary_metric_seed_inconsistency_fallback
rel-f1,driver-dnf,binary_classification,FALLBACK,dfs_vs_fdhg,single_metric,roc_auc,,SELECT,False,True,,0.013029478458049887,0.0105034013605|0.00382766439909|0.0144580498866|0.0233287981859,,all_seeds_strictly_pass
rel-ratebeer,beer-churn,binary_classification,SELECT,dfs_vs_fdhg,single_metric,log_loss,,SELECT,True,True,,0.0025462555215529092,0.00128167893114|0.00354519894589|0.00270361661673|0.00265452759246,,all_seeds_strictly_pass
rel-ratebeer,beer_ratings-total_score,regression,FALLBACK,dfs_vs_fdhg,single_metric,rmse,,FALLBACK,True,False,,0.0,0|0|0|0,,primary_metric_seed_inconsistency_fallback
rel-ratebeer,brewer-dormant,binary_classification,FALLBACK,dfs_vs_fdhg,single_metric,log_loss,,FALLBACK,True,False,,-0.0002073574604898598,-0.000226141872645|5.20038895813e-05|-0.000283916666298|-0.000371375192599,,primary_metric_seed_inconsistency_fallback
rel-ratebeer,user-churn,binary_classification,FALLBACK,dfs_vs_fdhg,single_metric,log_loss,,FALLBACK,True,False,,0.00042061442824378736,0.000723454469473|0.00106312250843|0.000754158213803|-0.000858277478735,,primary_metric_seed_inconsistency_fallback
rel-ratebeer,user-count,regression,SELECT,dfs_vs_fdhg,single_metric,rmse,,SELECT,True,True,,1.6189604369035546,1.61774664558|1.76313103555|1.49794398087|1.59702008561,,all_seeds_strictly_pass
rel-salt,item-incoterms,multiclass_classification,FALLBACK,dfs_vs_fdhg,single_metric,accuracy,,FALLBACK,True,False,,0.002625000000000016,0.0105|0.01|-0.003|-0.007,,primary_metric_seed_inconsistency_fallback
rel-salt,item-plant,multiclass_classification,FALLBACK,dfs_vs_fdhg,single_metric,accuracy,,FALLBACK,True,False,,-0.000751879699248309,0.00200501253133|-0.00350877192982|-0.00300751879699|0.0015037593985,,primary_metric_seed_inconsistency_fallback
rel-salt,item-shippoint,multiclass_classification,SELECT,dfs_vs_fdhg,single_metric,accuracy,,SELECT,True,True,,0.06983450351053158,0.0822467402207|0.0606820461384|0.0817452357071|0.0546639919759,,all_seeds_strictly_pass
rel-salt,sales-group,multiclass_classification,SELECT,dfs_vs_fdhg,single_metric,accuracy,,SELECT,True,True,,0.003100775193798408,0.0031007751938|0.0031007751938|0.0031007751938|0.0031007751938,,all_seeds_strictly_pass
rel-salt,sales-incoterms,multiclass_classification,SELECT,dfs_vs_fdhg,single_metric,accuracy,,SELECT,True,True,,0.0050000000000000044,0.005|0.005|0.005|0.005,,all_seeds_strictly_pass
rel-salt,sales-office,multiclass_classification,SELECT,dfs_vs_fdhg,single_metric,accuracy,,FALLBACK,False,False,,0.00037499999999998646,0.0005|0|0|0.001,,primary_metric_seed_inconsistency_fallback
rel-salt,sales-payterms,multiclass_classification,SELECT,dfs_vs_fdhg,single_metric,accuracy,,FALLBACK,False,False,,0.0001250625312656517,0|0.000500250125063|0|0,,primary_metric_seed_inconsistency_fallback
rel-salt,sales-shipcond,multiclass_classification,SELECT,dfs_vs_fdhg,lexicographic,accuracy,mrr,FALLBACK,False,False,,0.0008758758758757867,0.0015015015015|-0.001001001001|0.0015015015015|0.0015015015015,0.00315203547308|0.00131605447043|0.00339854085678|0.00338659942491,lexicographic_seed_inconsistency_fallback
rel-stack,user-badge,binary_classification,FALLBACK,dfs_vs_fdhg,single_metric,roc_auc,,SELECT,False,True,,0.01495344966260867,0.0143950352002|0.0149866294081|0.0145322004059|0.0158999336362,,all_seeds_strictly_pass
