dataset,task,task_type,comparison_scope,gate_mode,primary_metric,secondary_metric,seed,base_primary_score,candidate_primary_score,primary_improvement,secondary_improvement,seed_pass,base_source,candidate_source
rel-amazon,item-churn,binary_classification,dfs_vs_fdhg,single_metric,roc_auc,,41,0.7580196267448532,0.7589127781216923,0.0008931513768390964,,True,results/final_tables/paper_main_runs.csv,results/final_tables/paper_main_runs.csv
rel-amazon,item-churn,binary_classification,dfs_vs_fdhg,single_metric,roc_auc,,42,0.7692990443172705,0.7704463225040702,0.0011472781867997162,,True,results/final_tables/final_all_runs.csv,results/final_tables/paper_main_runs.csv
rel-amazon,item-churn,binary_classification,dfs_vs_fdhg,single_metric,roc_auc,,43,0.7295331068830887,0.7305129984682507,0.000979891585161985,,True,results/final_tables/final_all_runs.csv,results/final_tables/paper_main_runs.csv
rel-amazon,item-churn,binary_classification,dfs_vs_fdhg,single_metric,roc_auc,,44,0.7722170646445311,0.7734545409733034,0.0012374763287722468,,True,results/final_tables/final_all_runs.csv,results/final_tables/paper_main_runs.csv
rel-amazon,user-churn,binary_classification,dfs_vs_fdhg,single_metric,roc_auc,,41,0.653260664354773,0.653260664354773,0.0,,False,results/final_tables/paper_main_runs.csv,results/final_tables/paper_main_runs.csv
rel-amazon,user-churn,binary_classification,dfs_vs_fdhg,single_metric,roc_auc,,42,0.6240685837225166,0.6240685837225166,0.0,,False,results/final_tables/paper_main_runs.csv,results/final_tables/paper_main_runs.csv
rel-amazon,user-churn,binary_classification,dfs_vs_fdhg,single_metric,roc_auc,,43,0.6215435112847221,0.6215435112847221,0.0,,False,results/final_tables/paper_main_runs.csv,results/final_tables/paper_main_runs.csv
rel-amazon,user-churn,binary_classification,dfs_vs_fdhg,single_metric,roc_auc,,44,0.6687349892967159,0.6687349892967159,0.0,,False,results/final_tables/paper_main_runs.csv,results/final_tables/paper_main_runs.csv
rel-arxiv,paper-citation,binary_classification,dfs_vs_fdhg,single_metric,log_loss,,41,0.5310805170474572,0.5310805170474572,0.0,,False,results/rel-arxiv_paper-citation_tabpfn/dfs/seed41/metrics.csv,results/rel-arxiv_paper-citation_tabpfn/fdhg_dmax1/seed41/metrics.csv
rel-arxiv,paper-citation,binary_classification,dfs_vs_fdhg,single_metric,log_loss,,42,0.5306419315699158,0.5306419315699158,0.0,,False,results/rel-arxiv_paper-citation_tabpfn/dfs/seed42/metrics.csv,results/rel-arxiv_paper-citation_tabpfn/fdhg_dmax1/seed42/metrics.csv
rel-arxiv,paper-citation,binary_classification,dfs_vs_fdhg,single_metric,log_loss,,43,0.5307238563943482,0.5307238563943482,0.0,,False,results/rel-arxiv_paper-citation_tabpfn/dfs/seed43/metrics.csv,results/rel-arxiv_paper-citation_tabpfn/fdhg_dmax1/seed43/metrics.csv
rel-arxiv,paper-citation,binary_classification,dfs_vs_fdhg,single_metric,log_loss,,44,0.53076890168109,0.53076890168109,0.0,,False,results/rel-arxiv_paper-citation_tabpfn/dfs/seed44/metrics.csv,results/rel-arxiv_paper-citation_tabpfn/fdhg_dmax1/seed44/metrics.csv
rel-f1,driver-dnf,binary_classification,dfs_vs_fdhg,single_metric,roc_auc,,41,0.6164353741496599,0.626938775510204,0.010503401360544173,,True,results/final_tables/paper_main_runs.csv,results/final_tables/paper_main_runs.csv
rel-f1,driver-dnf,binary_classification,dfs_vs_fdhg,single_metric,roc_auc,,42,0.6330340136054422,0.6368616780045352,0.0038276643990929893,,True,results/final_tables/paper_main_runs.csv,results/final_tables/paper_main_runs.csv
rel-f1,driver-dnf,binary_classification,dfs_vs_fdhg,single_metric,roc_auc,,43,0.583891156462585,0.5983492063492064,0.01445804988662136,,True,results/final_tables/paper_main_runs.csv,results/final_tables/paper_main_runs.csv
rel-f1,driver-dnf,binary_classification,dfs_vs_fdhg,single_metric,roc_auc,,44,0.6101043083900227,0.6334331065759637,0.023328798185941024,,True,results/final_tables/paper_main_runs.csv,results/final_tables/paper_main_runs.csv
