dataset,task,variant,seed,source_kind,source_priority,source_path,accuracy,micro_f1,macro_f1,weighted_f1,roc_auc,average_precision,log_loss,mrr,rmse,mae,r2
rel-amazon,item-churn,dfs,41,paper_main,3,results/final_tables/paper_main_runs.csv,0.6785,,,,0.7580196267448532,0.6366809150046987,0.5997747833017442,,,,
rel-amazon,item-churn,dfs,42,final_all,4,results/final_tables/final_all_runs.csv,0.679,,,,0.7692990443172705,0.6290269424156062,0.5776361538959173,,,,
rel-amazon,item-churn,dfs,43,final_all,4,results/final_tables/final_all_runs.csv,0.6455,,,,0.7295331068830887,0.6110713669827608,0.6471730548705474,,,,
rel-amazon,item-churn,dfs,44,final_all,4,results/final_tables/final_all_runs.csv,0.682,,,,0.7722170646445311,0.6498633602622272,0.5895964835456423,,,,
rel-amazon,item-churn,fdhg,41,paper_main,3,results/final_tables/paper_main_runs.csv,0.6855,,,,0.7589127781216923,0.634493270855889,0.5985493308525666,,,,
rel-amazon,item-churn,fdhg,42,paper_main,3,results/final_tables/paper_main_runs.csv,0.681,,,,0.7704463225040702,0.6309679919254978,0.5782079207684173,,,,
rel-amazon,item-churn,fdhg,43,paper_main,3,results/final_tables/paper_main_runs.csv,0.6535,,,,0.7305129984682507,0.6135945881612581,0.6453972409555463,,,,
rel-amazon,item-churn,fdhg,44,paper_main,3,results/final_tables/paper_main_runs.csv,0.682,,,,0.7734545409733034,0.651964323695335,0.5893957089966653,,,,
rel-amazon,user-churn,dfs,41,paper_main,3,results/final_tables/paper_main_runs.csv,0.6945,,,,0.653260664354773,0.7429476562904577,0.6100920670923665,,,,
rel-amazon,user-churn,dfs,42,paper_main,3,results/final_tables/paper_main_runs.csv,0.6705,,,,0.6240685837225166,0.7098314682525458,0.6205777297261622,,,,
rel-amazon,user-churn,dfs,43,paper_main,3,results/final_tables/paper_main_runs.csv,0.6815,,,,0.6215435112847221,0.7132375620873699,0.6234072219365637,,,,
rel-amazon,user-churn,dfs,44,paper_main,3,results/final_tables/paper_main_runs.csv,0.683,,,,0.6687349892967159,0.7523550084589775,0.6067352598308279,,,,
rel-amazon,user-churn,fdhg,41,paper_main,3,results/final_tables/paper_main_runs.csv,0.6945,,,,0.653260664354773,0.7429476562904577,0.6100920670923665,,,,
rel-amazon,user-churn,fdhg,42,paper_main,3,results/final_tables/paper_main_runs.csv,0.6705,,,,0.6240685837225166,0.7098314682525458,0.6205777297261622,,,,
rel-amazon,user-churn,fdhg,43,paper_main,3,results/final_tables/paper_main_runs.csv,0.6815,,,,0.6215435112847221,0.7132375620873699,0.6234072219365637,,,,
rel-amazon,user-churn,fdhg,44,paper_main,3,results/final_tables/paper_main_runs.csv,0.683,,,,0.6687349892967159,0.7523550084589775,0.6067352598308279,,,,
rel-arxiv,paper-citation,dfs,41,task_root,0,results/rel-arxiv_paper-citation_tabpfn/dfs/seed41/metrics.csv,0.724,,,,0.8115912738154132,0.8067914894579292,0.5310805170474572,,,,
rel-arxiv,paper-citation,dfs,42,task_root,0,results/rel-arxiv_paper-citation_tabpfn/dfs/seed42/metrics.csv,0.724,,,,0.8117692484042618,0.8068562125800448,0.5306419315699158,,,,
rel-arxiv,paper-citation,dfs,43,task_root,0,results/rel-arxiv_paper-citation_tabpfn/dfs/seed43/metrics.csv,0.7235,,,,0.8117059015167054,0.8069909596797911,0.5307238563943482,,,,
rel-arxiv,paper-citation,dfs,44,task_root,0,results/rel-arxiv_paper-citation_tabpfn/dfs/seed44/metrics.csv,0.7245,,,,0.811781314478082,0.8066706476149953,0.53076890168109,,,,
rel-arxiv,paper-citation,fdhg,41,task_root,0,results/rel-arxiv_paper-citation_tabpfn/fdhg_dmax1/seed41/metrics.csv,0.724,,,,0.8115912738154132,0.8067914894579292,0.5310805170474572,,,,
rel-arxiv,paper-citation,fdhg,42,task_root,0,results/rel-arxiv_paper-citation_tabpfn/fdhg_dmax1/seed42/metrics.csv,0.724,,,,0.8117692484042618,0.8068562125800448,0.5306419315699158,,,,
rel-arxiv,paper-citation,fdhg,43,task_root,0,results/rel-arxiv_paper-citation_tabpfn/fdhg_dmax1/seed43/metrics.csv,0.7235,,,,0.8117059015167054,0.8069909596797911,0.5307238563943482,,,,
rel-arxiv,paper-citation,fdhg,44,task_root,0,results/rel-arxiv_paper-citation_tabpfn/fdhg_dmax1/seed44/metrics.csv,0.7245,,,,0.811781314478082,0.8066706476149953,0.53076890168109,,,,
rel-f1,driver-dnf,dfs,41,paper_main,3,results/final_tables/paper_main_runs.csv,0.666077738515901,,,,0.6164353741496599,0.8489365514355056,0.5557652886759333,,,,
