dataset,task,variant,seed,model,split,n_train,n_val,n_features,feature_budget,dmax,uses_afd,uses_ambiguity,uses_dmax2,uses_supervised_ranker,is_fdhg_fallback,accuracy,roc_auc,average_precision,log_loss,runtime_sec,feature_path,result_path,status,failure_reason
rel-amazon,item-churn,dfs,41,tabpfn,val,,,24,,1,False,False,False,False,False,0.6785,0.7580196267448532,0.6366809150046987,0.5997747833017442,,,results/dfs_agg/dfs_agg_rel-amazon_item-churn_tabpfn_seed41.json,ok,
rel-amazon,item-churn,dfs,41,tabpfn,val,,,32,,1,False,True,False,False,False,0.6855,0.7589127781216923,0.634493270855889,0.5985493308525666,,,results/fdhg_heuristic/dfs_agg_rel-amazon_item-churn_tabpfn_seed41.json,ok,
rel-amazon,item-churn,dfs,41,tabpfn,val,,,24,,1,False,False,False,False,False,0.6785,0.7580196267448532,0.6366809150046987,0.5997747833017442,,,results/phase2_relbench/phase2_main_runs.csv,ok,
rel-amazon,item-churn,dfs,41,tabpfn,val,,,24,,1,False,False,False,False,False,0.6785,0.7580196267448532,0.6366809150046987,0.5997747833017442,,,results/phase2_relbench/rel-amazon_item-churn_dfs/dfs_agg_rel-amazon_item-churn_tabpfn_seed41.json,ok,
rel-amazon,item-churn,dfs,41,tabpfn,val,,,32,,1,False,True,False,False,False,0.6855,0.7589127781216923,0.634493270855889,0.5985493308525666,,,results/phase2_relbench/rel-amazon_item-churn_fdhg/dfs_agg_rel-amazon_item-churn_tabpfn_seed41.json,ok,
rel-amazon,item-churn,dfs,42,tabpfn,val,,,24,,1,False,False,False,False,False,0.679,0.7692990443172705,0.6290269424156062,0.5776361538959173,,,results/phase2_relbench/phase2_main_runs.csv,ok,
rel-amazon,item-churn,dfs,43,tabpfn,val,,,24,,1,False,False,False,False,False,0.6455,0.7295331068830887,0.6110713669827608,0.6471730548705474,,,results/phase2_relbench/phase2_main_runs.csv,ok,
rel-amazon,item-churn,dfs,44,tabpfn,val,,,24,,1,False,False,False,False,False,0.682,0.7722170646445311,0.6498633602622272,0.5895964835456423,,,results/phase2_relbench/phase2_main_runs.csv,ok,
rel-amazon,item-churn,fdhg_dmax1,41,tabpfn,val,,,24,,1,True,True,False,False,False,0.6785,0.7580196267448532,0.6366809150046987,0.5997747833017442,,,results/phase2_relbench/phase2_main_runs.csv,ok,
rel-amazon,item-churn,fdhg_dmax1,41,tabpfn,val,,,24,,1,True,True,False,False,False,0.6785,0.7580196267448532,0.6366809150046987,0.5997747833017442,,,results/phase2_relbench/rel-amazon_item-churn_fdhg_full_seed41_dfs/dfs_agg_rel-amazon_item-churn_tabpfn_seed41.json,ok,
rel-amazon,item-churn,fdhg_dmax1,41,tabpfn,val,,,32,,1,True,True,False,False,False,0.6855,0.7589127781216923,0.634493270855889,0.5985493308525666,,,results/phase2_relbench/rel-amazon_item-churn_fdhg_full_seed41_fdhg/dfs_agg_rel-amazon_item-churn_tabpfn_seed41.json,ok,
rel-amazon,item-churn,fdhg_dmax1,41,tabpfn,val,,,19,,1,False,True,False,False,False,0.6255,0.6852457552210858,0.5700563818007865,0.6431594454839928,,,results/phase2_relbench/rel-amazon_item-churn_fdhg_full_seed41_naive/dfs_agg_rel-amazon_item-churn_tabpfn_seed41.json,ok,
rel-amazon,item-churn,fdhg_dmax1,42,tabpfn,val,,,24,,1,True,True,False,False,False,0.679,0.7692990443172705,0.6290269424156062,0.5776361538959173,,,results/phase2_relbench/phase2_main_runs.csv,ok,
rel-amazon,item-churn,fdhg_dmax1,42,tabpfn,val,,,24,,1,True,True,False,False,False,0.679,0.7692990443172705,0.6290269424156062,0.5776361538959173,,,results/phase2_relbench/rel-amazon_item-churn_fdhg_full_seed42_dfs/dfs_agg_rel-amazon_item-churn_tabpfn_seed42.json,ok,
rel-amazon,item-churn,fdhg_dmax1,42,tabpfn,val,,,32,,1,True,True,False,False,False,0.681,0.7704463225040702,0.6309679919254978,0.5782079207684173,,,results/phase2_relbench/rel-amazon_item-churn_fdhg_full_seed42_fdhg/dfs_agg_rel-amazon_item-churn_tabpfn_seed42.json,ok,
