dataset,task,variant,n_runs,seeds,n_features_mean,n_features_std,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,log_loss_mean,log_loss_std
rel-amazon,item-churn,dfs,1,41,24.0,0.0,0.6785,0.0,0.7580196267448532,0.0,0.6366809150046987,0.0,0.5997747833017442,0.0
rel-amazon,item-churn,fdhg_dmax1,4,"41,42,43,44",32.0,0.0,0.6755,0.012811127975318982,0.7583316600168291,0.01695348197428491,0.632755043659495,0.013622907931876205,0.6028875503932989,0.02557834945405424
rel-amazon,item-churn,fdhg_dmax1_no_ambiguity,4,"41,42,43,44",24.0,0.0,0.67125,0.01492690523852821,0.7572672106474359,0.016867200401876555,0.6316606461663232,0.014030295011260506,0.6035451189034627,0.026379211149147746
rel-amazon,item-churn,fdhg_dmax1_random_same_budget,4,"41,42,43,44",32.0,0.0,0.6715,0.015980456814496884,0.7575616485199312,0.01658534900114511,0.632869147982704,0.013453495685344471,0.6040114034478103,0.02670245287507762
rel-amazon,item-churn,fdhg_dmax1_shuffle_ambiguity,4,"41,42,43,44",32.0,0.0,0.6705000000000001,0.014435200033252079,0.7574488220146607,0.01662484665903162,0.6316564399186104,0.01337948253341685,0.6039079221776109,0.026471419403515974
rel-stack,user-badge,dfs,4,"41,42,43,44",15.0,0.0,0.9714357027946872,0.00027674714015812364,0.8663405427348175,0.0013966480169156754,0.2933630054633033,0.00392111550975928,0.09864360519819321,0.00011304600567763232
rel-stack,user-badge,fdhg_dmax1,4,"41,42,43,44",23.0,0.0,0.9718045416696982,0.00022103322743378777,0.8812939923974262,0.0009562747513312195,0.3100599484793903,0.0014281966531177377,0.09617227340105897,0.00011225487224393722
rel-stack,user-badge,fdhg_dmax1_no_ambiguity,4,"41,42,43,44",16.0,0.0,0.970125,0.0018498310733685878,0.8561470503386265,0.014379654870514588,0.3030533966400889,0.031160051411399825,0.103576936629407,0.0030704628192232135
rel-stack,user-badge,fdhg_dmax1_random_same_budget,4,"41,42,43,44",24.0,0.0,0.9696250000000001,0.001634587103827753,0.8556846875610986,0.01794277879225688,0.2951947219291959,0.0371117424012436,0.10352880848558055,0.003475178428498254
rel-stack,user-badge,fdhg_dmax1_shuffle_ambiguity,4,"41,42,43,44",24.0,0.0,0.9700000000000001,0.0019685019685029615,0.858143332620961,0.01322722676702705,0.29466733957335406,0.03263976980470452,0.10354924850925334,0.0031685876278696895
