dataset,task,variant,n_runs,seeds,n_features_mean,n_features_std,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,log_loss_mean,log_loss_std
rel-f1,driver-dnf,dfs,4,"41,42,43,44",15.0,0.0,0.6656360424028269,0.021251964176182688,0.6108662131519275,0.017682343689574654,0.8477896836536047,0.004903511423715758,0.5722511726320888,0.015086625148791723
rel-f1,driver-dnf,dfs_plus_last,4,"41,42,43,44",22.0,0.0,0.8047703180212015,0.0031851159677243487,0.807700680272109,0.00462023579952127,0.9351011571609678,0.002450923753988251,0.42122166598599814,0.004415254972968706
rel-f1,driver-dnf,fdhg_dmax1,4,"41,42,43,44",23.0,0.0,0.691696113074205,0.016071912896343,0.6238956916099774,0.015173680801142864,0.8519430273342486,0.0031263193171418304,0.5672143141450856,0.013083685626204674
rel-f1,driver-dnf,fdhg_plus_last,4,"41,42,43,44",30.0,0.0,0.8056537102473498,0.006955837344533402,0.7987709750566894,0.0035307658889697393,0.9279543551583188,0.0029943889827863967,0.43106643197268807,0.004495482763336702
rel-f1,driver-dnf,last_only,4,"41,42,43,44",8.0,0.0,0.782243816254417,0.0007650401093502162,0.8057324263038548,0.0008323447326812283,0.9340934953011417,0.000750938348960134,0.4306469540655632,0.0010605410966689746
rel-f1,driver-dnf,naive,4,"41,42,43,44",10.0,0.0,0.7848939929328622,0.0014649402784255403,0.7525124716553288,0.0023785756412892196,0.891646058921168,0.0036986025114956744,0.46300664098405,0.0007931679919625898
rel-f1,driver-dnf,target_only,4,"41,42,43,44",6.0,0.0,0.7756183745583038,0.0,0.5649863945578231,0.009876731359497608,0.7933596671705188,0.0029354534889725423,0.5875399055920949,0.0029057690084742004
rel-f1,driver-dnf,temporal_full,4,"41,42,43,44",64.0,0.0,0.7977031802120141,0.0015300802187004326,0.8021678004535147,0.0018666745998522699,0.9328356355102656,0.0012784363681676283,0.4311358555897335,0.001873593158959092
rel-f1,driver-dnf,trend_only,1,41,8.0,0.0,0.7826855123674912,0.0,0.7873287981859411,0.0,0.9236700773513457,0.0,0.4471272245778516,0.0
rel-hm,user-churn,target_only,1,41,6.0,0.0,0.8045,0.0,0.5633417525142302,0.0,0.833876235509779,0.0,0.4960583159920579,0.0
