dataset,task,variant,seed,model,split,n_train,n_val,n_features,feature_budget,dmax,uses_afd,uses_ambiguity,uses_dmax2,uses_supervised_ranker,is_fdhg_fallback,accuracy,roc_auc,average_precision,log_loss,runtime_sec,feature_path,result_path,status,failure_reason,result_path_str,is_aggregate_csv_row
rel-stack,user-badge,target_only,41.0,tabpfn,val,,,7,,,False,False,False,False,False,0.9745,0.6523405668065071,0.0504723471660188,0.1851498936349377,,,results/week1/target_only_rel-stack_user-badge_tabpfn_seed41.json,ok,,results/week1/target_only_rel-stack_user-badge_tabpfn_seed41.json,False
rel-stack,user-badge,target_only,42.0,tabpfn,val,,,7,,,False,False,False,False,False,0.9745,0.6348253000533205,0.0524456582060934,0.2528755252942284,,,results/week1/target_only_rel-stack_user-badge_tabpfn_seed42.json,ok,,results/week1/target_only_rel-stack_user-badge_tabpfn_seed42.json,False
rel-stack,user-badge,target_only,43.0,tabpfn,val,,,7,,,False,False,False,False,False,0.9695,0.592362126835702,0.0618614954777696,0.2944768077331042,,,results/week1/target_only_rel-stack_user-badge_tabpfn_seed43.json,ok,,results/week1/target_only_rel-stack_user-badge_tabpfn_seed43.json,False
rel-stack,user-badge,target_only,44.0,tabpfn,val,,,7,,,False,False,False,False,False,0.976,0.5886697404371585,0.0303309609078902,0.2803057829163847,,,results/week1/target_only_rel-stack_user-badge_tabpfn_seed44.json,ok,,results/week1/target_only_rel-stack_user-badge_tabpfn_seed44.json,False
rel-stack,user-badge,naive,41.0,tabpfn,val,,,11,,,False,False,False,False,False,0.9685,0.8070280216942148,0.219094994354851,0.1212583069391218,,,results/phase2_relbench_new_datasets/rel-stack_user-badge_naive/dfs_agg_rel-stack_user-badge_tabpfn_seed41.json,ok,,results/phase2_relbench_new_datasets/rel-stack_user-badge_naive/dfs_agg_rel-stack_user-badge_tabpfn_seed41.json,False
rel-stack,user-badge,naive,42.0,tabpfn,val,,,11,,,False,False,False,False,False,0.969,0.8108455431648898,0.1454772897426266,0.1191129143515235,,,results/phase2_main_missing_relstack_seed42_44/rel-stack_user-badge_naive/dfs_agg_rel-stack_user-badge_tabpfn_seed42.json,ok,,results/phase2_main_missing_relstack_seed42_44/rel-stack_user-badge_naive/dfs_agg_rel-stack_user-badge_tabpfn_seed42.json,False
rel-stack,user-badge,naive,43.0,tabpfn,val,,,11,,,False,False,False,False,False,0.967,0.8674281595688007,0.2882537959480696,0.1142907921262161,,,results/phase2_main_missing_relstack_seed42_44/rel-stack_user-badge_naive/dfs_agg_rel-stack_user-badge_tabpfn_seed43.json,ok,,results/phase2_main_missing_relstack_seed42_44/rel-stack_user-badge_naive/dfs_agg_rel-stack_user-badge_tabpfn_seed43.json,False
rel-stack,user-badge,naive,44.0,tabpfn,val,,,11,,,False,False,False,False,False,0.9715,0.8262679343753103,0.1865744658598182,0.1061956664549075,,,results/phase2_main_missing_relstack_seed42_44/rel-stack_user-badge_naive/dfs_agg_rel-stack_user-badge_tabpfn_seed44.json,ok,,results/phase2_main_missing_relstack_seed42_44/rel-stack_user-badge_naive/dfs_agg_rel-stack_user-badge_tabpfn_seed44.json,False
rel-stack,user-badge,dfs,41.0,,val,10000.0,247398.0,15,,2.0,False,False,True,False,False,0.9709698542429608,0.8680709804227033,0.2923983393001161,0.0986698262592651,,,results/extension_b_dmax2/runs/rel-stack_user-badge_regen_dmax1_dfs_alone_seed41.json,ok,,results/extension_b_dmax2/runs/rel-stack_user-badge_regen_dmax1_dfs_alone_seed41.json,False
rel-stack,user-badge,dfs,42.0,,val,10000.0,247398.0,15,,2.0,False,False,True,False,False,0.9715357440237996,0.8649947394880146,0.2918230392726402,0.0985595765563041,,,results/extension_b_dmax2/runs/rel-stack_user-badge_regen_dmax1_dfs_alone_seed42.json,ok,,results/extension_b_dmax2/runs/rel-stack_user-badge_regen_dmax1_dfs_alone_seed42.json,False
