dataset,task,variant,n_runs,seeds,n_features_mean,n_features_std,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,log_loss_mean,log_loss_std
rel-amazon,item-churn,dfs,4,"41,42,43,44",24.0,0.0,0.67125,0.01492690523852821,0.7572672106474359,0.016867200401876555,0.6316606461663232,0.014030295011260506,0.6035451189034627,0.026379211149147746
rel-amazon,item-churn,fdhg_dmax1,4,"41,42,43,44",32.0,0.0,0.6755,0.012811127975318982,0.7583316600168291,0.01695348197428491,0.632755043659495,0.013622907931876205,0.6028875503932989,0.02557834945405424
rel-amazon,item-churn,naive,4,"41,42,43,44",19.0,0.0,0.6214999999999999,0.011152354011597712,0.6756923938265504,0.014300617683148014,0.5640593407093426,0.006001716131470742,0.6396137290185957,0.0053651231973935384
rel-amazon,item-churn,target_only,4,"41,42,43,44",15.0,0.0,0.5609999999999999,0.012160386507015288,0.580425494407963,0.018713986576632674,0.4674757660533406,0.02296242172578007,0.6750815326490563,0.004616569380743799
rel-amazon,user-churn,dfs,4,"41,42,43,44",10.0,0.0,0.682375,0.008502756905851193,0.6419019371646819,0.019884210880761515,0.7295929237723378,0.018401592050819402,0.6152030696464801,0.006964575291308591
rel-amazon,user-churn,fdhg_dmax1,4,"41,42,43,44",10.0,0.0,0.682375,0.008502756905851193,0.6419019371646819,0.019884210880761515,0.7295929237723378,0.018401592050819402,0.6152030696464801,0.006964575291308591
rel-amazon,user-churn,naive,4,"41,42,43,44",5.0,0.0,0.655,0.012820881404958117,0.613917517777895,0.010971832813683203,0.7239063207208631,0.01327595002496748,0.6319495300905138,0.005224927800374521
rel-amazon,user-churn,target_only,4,"41,42,43,44",1.0,0.0,0.6435,0.008724964183307576,0.5004143787922737,0.009853880255793966,0.6463689504000847,0.013722336773144814,0.6516487071553864,0.004708190759621953
rel-f1,driver-dnf,dfs,4,"41,42,43,44",15.0,0.0,0.6656360424028269,0.021251964176182688,0.6108662131519275,0.017682343689574654,0.8477896836536047,0.004903511423715758,0.5722511726320888,0.015086625148791723
rel-f1,driver-dnf,fdhg_dmax1,4,"41,42,43,44",23.0,0.0,0.691696113074205,0.016071912896343,0.6238956916099774,0.015173680801142864,0.8519430273342486,0.0031263193171418304,0.5672143141450856,0.013083685626204674
rel-f1,driver-dnf,naive,4,"41,42,43,44",10.0,0.0,0.7848939929328622,0.0014649402784255403,0.7525124716553288,0.0023785756412892196,0.891646058921168,0.0036986025114956744,0.46300664098405,0.0007931679919625898
rel-f1,driver-dnf,target_only,4,"41,42,43,44",6.0,0.0,0.7756183745583038,0.0,0.5649863945578231,0.009876731359497608,0.7933596671705188,0.0029354534889725423,0.5875399055920949,0.0029057690084742004
rel-stack,user-badge,dfs,4,"41,42,43,44",15.0,0.0,0.9714357027946872,0.00027674714015812364,0.8663405427348175,0.0013966480169156754,0.2933630054633033,0.00392111550975928,0.09864360519819321,0.00011304600567763232
rel-stack,user-badge,fdhg_dmax1,4,"41,42,43,44",23.0,0.0,0.9718045416696982,0.00022103322743378777,0.8812939923974262,0.0009562747513312195,0.3100599484793903,0.0014281966531177377,0.09617227340105897,0.00011225487224393722
rel-stack,user-badge,naive,4,"41,42,43,44",11.0,0.0,0.9690000000000001,0.0016201851746019838,0.827892414700804,0.023935500743093998,0.20985013647634135,0.052245146796146946,0.11521441996794224,0.005786143609911895
rel-stack,user-badge,target_only,4,"41,42,43,44",7.0,0.0,0.973625,0.002459039446613239,0.617049433533172,0.02727780971072137,0.048777615439443,0.01148687983774116,0.2532020023946637,0.04203992319283678
