feature,roc_auc,roc_auc_oriented,average_precision,mutual_info,score,nunique,nonnull_rate
dmax2_postHistory_UserId_PostId_posts__count_distinct_PostId,0.775457315701167,0.775457315701167,0.26146412098734934,0.03367606363059994,0.26146412098734934,342,1.0
dmax2_postHistory_UserId_PostId_posts__nunique_Body,0.7754659126668727,0.7754659126668727,0.26146168660742364,0.03368055384244184,0.26146168660742364,343,1.0
dmax2_comments_UserId_PostId_posts__nunique_Body,0.7329982807705014,0.7329982807705014,0.2432148560395883,0.028797652424782383,0.2432148560395883,346,1.0
dmax2_comments_UserId_PostId_posts__count_distinct_PostId,0.732997607653806,0.732997607653806,0.24321406963212483,0.028797724376447453,0.24321406963212483,345,1.0
dmax2_postHistory_UserId_PostId_posts__nunique_Title,0.748651812988545,0.748651812988545,0.2396301528206878,0.029848689812068896,0.2396301528206878,204,1.0
dmax2_postHistory_UserId_PostId_posts__nunique_Tags,0.7486332253673792,0.7486332253673792,0.23948984524688618,0.029821648007368307,0.23948984524688618,196,1.0
dmax2_comments_UserId_PostId_posts__nunique_Title,0.6965244306722805,0.6965244306722805,0.21457420490509868,0.024180400084499398,0.21457420490509868,269,1.0
dmax2_comments_UserId_PostId_posts__nunique_Tags,0.6965250189675448,0.6965250189675448,0.21440096959527385,0.02423825327963569,0.21440096959527385,251,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__count_distinct_AcceptedAnswerId,0.6902521612964336,0.6902521612964336,0.20072652127286036,0.024644517687083534,0.20072652127286036,59,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_Body,0.6902509991610042,0.6902509991610042,0.20071037930396168,0.024653862744803856,0.20071037930396168,59,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_Body,0.6373852552860524,0.6373852552860524,0.17244035592164597,0.016555415863147127,0.17244035592164597,264,1.0
dmax2_posts_OwnerUserId_ParentId_posts__count_distinct_ParentId,0.6373852124662303,0.6373852124662303,0.17243906516243535,0.01655751813587436,0.17243906516243535,264,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_Tags,0.6373815365072258,0.6373815365072258,0.17243073800361103,0.01648749971905783,0.17243073800361103,256,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_Title,0.6373818250637346,0.6373818250637346,0.17242297401203246,0.016531191449945082,0.17242297401203246,264,1.0
dmax2_comments_UserId_PostId_posts__nunique_ContentLicense,0.7201222415920552,0.7201222415920552,0.15321060516018037,0.025765627664534163,0.15321060516018037,4,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_ContentLicense,0.6855577270932905,0.6855577270932905,0.1427288263154604,0.02273171322404055,0.1427288263154604,4,1.0
dmax2_postHistory_UserId_PostId_posts__nunique_ContentLicense,0.7419179118370953,0.7419179118370953,0.14229068857548596,0.030761536503686182,0.14229068857548596,4,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_ContentLicense,0.6348027604439319,0.6348027604439319,0.12515090299085796,0.014970088958231154,0.12515090299085796,4,1.0
dmax2_comments_UserId_PostId_posts__nunique_OwnerDisplayName,0.5556953535474531,0.5556953535474531,0.1030297290751353,0.008159881226398769,0.1030297290751353,51,1.0
dmax2_posts_OwnerUserId_ParentId_posts__nunique_OwnerDisplayName,0.5446553778887493,0.5446553778887493,0.09690540363203404,0.007029940634924792,0.09690540363203404,38,1.0
dmax2_votes_UserId_PostId_posts__nunique_Tags,0.539596935922618,0.539596935922618,0.0881146055055641,0.006458901083062019,0.0881146055055641,27,1.0
dmax2_votes_UserId_PostId_posts__count_distinct_PostId,0.5395968000992329,0.5395968000992329,0.08807154381721016,0.006455210687193125,0.08807154381721016,27,1.0
dmax2_votes_UserId_PostId_posts__nunique_Title,0.5395968000992329,0.5395968000992329,0.08807154381721016,0.006455210687193125,0.08807154381721016,27,1.0
dmax2_votes_UserId_PostId_posts__nunique_Body,0.5395968000992329,0.5395968000992329,0.08807154381721016,0.006455210687193125,0.08807154381721016,27,1.0
dmax2_votes_UserId_PostId_posts__nunique_ContentLicense,0.539521708313444,0.539521708313444,0.07865216152613481,0.005969750204888324,0.07865216152613481,4,1.0
dmax2_postHistory_UserId_PostId_posts__nunique_OwnerDisplayName,0.5371530736641129,0.5371530736641129,0.07709985404703484,0.004798550452287609,0.07709985404703484,45,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_OwnerDisplayName,0.5177989465887356,0.5177989465887356,0.06242503229913602,0.002591011612467886,0.06242503229913602,6,1.0
dmax2_votes_UserId_PostId_posts__nunique_OwnerDisplayName,0.5010791917974021,0.5010791917974021,0.04909777106996123,0.00010590956425926557,0.04909777106996123,9,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_Title,,,,,-1.0,1,1.0
dmax2_posts_OwnerUserId_AcceptedAnswerId_posts__nunique_Tags,,,,,-1.0,1,1.0
