feature,train_nan,val_nan,test_nan,max_nan
fdhg::temporal::driverId<-standings.driverId::points::recent_30d_mean,0.3041801770221716,0.20141342756183744,1.0,1.0
fdhg::temporal::driverId<-standings.driverId::points::recent_90d_mean,0.25256331609850147,0.20141342756183744,1.0,1.0
fdhg::temporal::driverId<-standings.driverId::points::trend_recent30_minus_all,0.3041801770221716,0.20141342756183744,1.0,1.0
fdhg::temporal::driverId<-standings.driverId::position::recent_30d_mean,0.3041801770221716,0.20141342756183744,1.0,1.0
fdhg::temporal::driverId<-standings.driverId::position::recent_90d_mean,0.25256331609850147,0.20141342756183744,1.0,1.0
fdhg::temporal::driverId<-standings.driverId::position::trend_recent30_minus_all,0.3041801770221716,0.20141342756183744,1.0,1.0
fdhg::temporal::driverId<-standings.driverId::wins::recent_30d_mean,0.3041801770221716,0.20141342756183744,1.0,1.0
fdhg::temporal::driverId<-standings.driverId::wins::recent_90d_mean,0.25256331609850147,0.20141342756183744,1.0,1.0
fdhg::temporal::driverId<-standings.driverId::wins::trend_recent30_minus_all,0.3041801770221716,0.20141342756183744,1.0,1.0
fdhg::temporal::driverId<-results.driverId::grid::recent_30d_mean,0.3149592498466392,0.1855123674911661,1.0,1.0
fdhg::temporal::driverId<-results.driverId::grid::recent_90d_mean,0.24485145911839454,0.18021201413427562,1.0,1.0
fdhg::temporal::driverId<-results.driverId::grid::trend_recent30_minus_all,0.3149592498466392,0.1855123674911661,1.0,1.0
fdhg::temporal::driverId<-results.driverId::positionOrder::recent_30d_mean,0.3149592498466392,0.1855123674911661,1.0,1.0
fdhg::temporal::driverId<-results.driverId::positionOrder::recent_90d_mean,0.24485145911839454,0.18021201413427562,1.0,1.0
fdhg::temporal::driverId<-results.driverId::positionOrder::trend_recent30_minus_all,0.3149592498466392,0.1855123674911661,1.0,1.0
fdhg::temporal::driverId<-results.driverId::points::recent_30d_mean,0.3149592498466392,0.1855123674911661,1.0,1.0
fdhg::temporal::driverId<-results.driverId::points::recent_90d_mean,0.24485145911839454,0.18021201413427562,1.0,1.0
fdhg::temporal::driverId<-results.driverId::points::trend_recent30_minus_all,0.3149592498466392,0.1855123674911661,1.0,1.0
fdhg::temporal::driverId<-results.driverId::laps::recent_30d_mean,0.3149592498466392,0.1855123674911661,1.0,1.0
fdhg::temporal::driverId<-results.driverId::laps::recent_90d_mean,0.24485145911839454,0.18021201413427562,1.0,1.0
fdhg::temporal::driverId<-results.driverId::laps::trend_recent30_minus_all,0.3149592498466392,0.1855123674911661,1.0,1.0
fdhg::temporal::driverId<-results.driverId::statusId::recent_30d_mean,0.3149592498466392,0.1855123674911661,1.0,1.0
fdhg::temporal::driverId<-results.driverId::statusId::recent_90d_mean,0.24485145911839454,0.18021201413427562,1.0,1.0
fdhg::temporal::driverId<-results.driverId::statusId::trend_recent30_minus_all,0.3149592498466392,0.1855123674911661,1.0,1.0
