lhs,rhs,confidence,lhs_unique_ratio,rhs_unique_ratio,score,is_id_like,is_meaningful,seed,variant
row_id,group_pref,1.0,1.0,0.0033333333333333335,1.0,True,False,41,without_uniqueness_penalty
row_id,region_risk,1.0,1.0,0.0013333333333333333,1.0,True,False,41,without_uniqueness_penalty
row_id,row_hash,1.0,1.0,1.0,1.0,True,False,41,without_uniqueness_penalty
row_id,user_hash,1.0,1.0,1.0,1.0,True,False,41,without_uniqueness_penalty
row_id,noise_1,1.0,1.0,1.0,1.0,True,False,41,without_uniqueness_penalty
row_id,noise_2,1.0,1.0,1.0,1.0,True,False,41,without_uniqueness_penalty
row_id,noise_3,1.0,1.0,1.0,1.0,True,False,41,without_uniqueness_penalty
user_id,group_pref,1.0,1.0,0.0033333333333333335,1.0,True,False,41,without_uniqueness_penalty
region,region_risk,1.0,0.0013333333333333333,0.0013333333333333333,0.9973351111111112,False,True,41,with_uniqueness_penalty
group,group_pref,1.0,0.0033333333333333335,0.0033333333333333335,0.9933444444444445,False,True,41,with_uniqueness_penalty
group,region_risk,0.1565,0.0033333333333333335,0.0013333333333333333,0.15545840555555557,False,False,41,with_uniqueness_penalty
region,group_pref,0.067,0.0013333333333333333,0.0033333333333333335,0.06682145244444446,False,False,41,with_uniqueness_penalty
group,row_hash,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,41,with_uniqueness_penalty
group,user_hash,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,41,with_uniqueness_penalty
group,noise_2,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,41,with_uniqueness_penalty
group,noise_1,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,41,with_uniqueness_penalty
row_id,group_pref,1.0,1.0,0.0033333333333333335,1.0,True,False,42,without_uniqueness_penalty
row_id,region_risk,1.0,1.0,0.0013333333333333333,1.0,True,False,42,without_uniqueness_penalty
row_id,row_hash,1.0,1.0,1.0,1.0,True,False,42,without_uniqueness_penalty
row_id,user_hash,1.0,1.0,1.0,1.0,True,False,42,without_uniqueness_penalty
row_id,noise_1,1.0,1.0,1.0,1.0,True,False,42,without_uniqueness_penalty
row_id,noise_2,1.0,1.0,1.0,1.0,True,False,42,without_uniqueness_penalty
row_id,noise_3,1.0,1.0,1.0,1.0,True,False,42,without_uniqueness_penalty
user_id,group_pref,1.0,1.0,0.0033333333333333335,1.0,True,False,42,without_uniqueness_penalty
region,region_risk,1.0,0.0013333333333333333,0.0013333333333333333,0.9973351111111112,False,True,42,with_uniqueness_penalty
group,group_pref,1.0,0.0033333333333333335,0.0033333333333333335,0.9933444444444445,False,True,42,with_uniqueness_penalty
group,region_risk,0.15233333333333332,0.0033333333333333335,0.0013333333333333333,0.15131947037037036,False,False,42,with_uniqueness_penalty
region,group_pref,0.06383333333333334,0.0013333333333333333,0.0033333333333333335,0.0636632245925926,False,False,42,with_uniqueness_penalty
group,row_hash,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,42,with_uniqueness_penalty
group,user_hash,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,42,with_uniqueness_penalty
group,noise_2,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,42,with_uniqueness_penalty
group,noise_1,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,42,with_uniqueness_penalty
row_id,group_pref,1.0,1.0,0.0033333333333333335,1.0,True,False,43,without_uniqueness_penalty
row_id,region_risk,1.0,1.0,0.0013333333333333333,1.0,True,False,43,without_uniqueness_penalty
row_id,row_hash,1.0,1.0,1.0,1.0,True,False,43,without_uniqueness_penalty
row_id,user_hash,1.0,1.0,1.0,1.0,True,False,43,without_uniqueness_penalty
row_id,noise_1,1.0,1.0,1.0,1.0,True,False,43,without_uniqueness_penalty
row_id,noise_2,1.0,1.0,1.0,1.0,True,False,43,without_uniqueness_penalty
row_id,noise_3,1.0,1.0,1.0,1.0,True,False,43,without_uniqueness_penalty
user_id,group_pref,1.0,1.0,0.0033333333333333335,1.0,True,False,43,without_uniqueness_penalty
region,region_risk,1.0,0.0013333333333333333,0.0013333333333333333,0.9973351111111112,False,True,43,with_uniqueness_penalty
group,group_pref,1.0,0.0033333333333333335,0.0033333333333333335,0.9933444444444445,False,True,43,with_uniqueness_penalty
group,region_risk,0.15966666666666668,0.0033333333333333335,0.0013333333333333333,0.15860399629629632,False,False,43,with_uniqueness_penalty
region,group_pref,0.06783333333333333,0.0013333333333333333,0.0033333333333333335,0.06765256503703704,False,False,43,with_uniqueness_penalty
group,row_hash,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,43,with_uniqueness_penalty
group,user_hash,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,43,with_uniqueness_penalty
group,noise_2,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,43,with_uniqueness_penalty
group,noise_1,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,43,with_uniqueness_penalty
row_id,group_pref,1.0,1.0,0.0033333333333333335,1.0,True,False,44,without_uniqueness_penalty
row_id,region_risk,1.0,1.0,0.0013333333333333333,1.0,True,False,44,without_uniqueness_penalty
row_id,row_hash,1.0,1.0,1.0,1.0,True,False,44,without_uniqueness_penalty
row_id,user_hash,1.0,1.0,1.0,1.0,True,False,44,without_uniqueness_penalty
row_id,noise_1,1.0,1.0,1.0,1.0,True,False,44,without_uniqueness_penalty
row_id,noise_2,1.0,1.0,1.0,1.0,True,False,44,without_uniqueness_penalty
row_id,noise_3,1.0,1.0,1.0,1.0,True,False,44,without_uniqueness_penalty
user_id,group_pref,1.0,1.0,0.0033333333333333335,1.0,True,False,44,without_uniqueness_penalty
region,region_risk,1.0,0.0013333333333333333,0.0013333333333333333,0.9973351111111112,False,True,44,with_uniqueness_penalty
group,group_pref,1.0,0.0033333333333333335,0.0033333333333333335,0.9933444444444445,False,True,44,with_uniqueness_penalty
group,region_risk,0.15766666666666668,0.0033333333333333335,0.0013333333333333333,0.15661730740740742,False,False,44,with_uniqueness_penalty
region,group_pref,0.06683333333333333,0.0013333333333333333,0.0033333333333333335,0.06665522992592593,False,False,44,with_uniqueness_penalty
group,row_hash,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,44,with_uniqueness_penalty
group,user_hash,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,44,with_uniqueness_penalty
group,noise_2,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,44,with_uniqueness_penalty
group,noise_1,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,44,with_uniqueness_penalty
row_id,group_pref,1.0,1.0,0.0033333333333333335,1.0,True,False,45,without_uniqueness_penalty
row_id,region_risk,1.0,1.0,0.0013333333333333333,1.0,True,False,45,without_uniqueness_penalty
