dataset,task,task_family,decoder,variant,gate_selected,n_features_mean,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,gate_decision,fdhg_no_gate_minus_dfs_rmse_delta,fdhg_no_gate_minus_dfs_mae_delta,fdhg_no_gate_minus_dfs_r2_delta,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,accuracy_mean,accuracy_std,log_loss_mean,log_loss_std,fdhg_no_gate_minus_dfs_roc_auc_delta,fdhg_no_gate_minus_dfs_ap_delta,fdhg_no_gate_minus_dfs_log_loss_delta
rel-ratebeer,beer_ratings-total_score_enriched,relbench_v2_autocomplete_regression_rescued,tabpfn_regressor,dfs_base,True,9.0,0.6648505990138587,0.0066057699633416,0.4850290156483649,0.0070385677543436,0.0764152856740365,0.0182731194746116,,0.0348830098639312,0.0395957824110986,-0.1003465503342128,,,,,,,,,,,
rel-ratebeer,beer_ratings-total_score_enriched,relbench_v2_autocomplete_regression_rescued,tabpfn_regressor,fdhg_no_gate,False,17.0,0.6997336088777899,0.0247976755959891,0.5246247980594636,0.017765896938485,-0.0239312646601763,0.0736936669220095,,0.0348830098639312,0.0395957824110986,-0.1003465503342128,,,,,,,,,,,
rel-ratebeer,beer_ratings-total_score_enriched,relbench_v2_autocomplete_regression_rescued,tabpfn_regressor,fdhg_v2_gated,True,9.0,0.6648505990138587,0.0066057699633416,0.4850290156483649,0.0070385677543436,0.0764152856740365,0.0182731194746116,reject_fdhg_residual_fallback_to_dfs,0.0348830098639312,0.0395957824110986,-0.1003465503342128,,,,,,,,,,,
rel-ratebeer,user-count,relbench_v2_regression,tabpfn_regressor,dfs_base,False,9.0,53.26252691946856,4.596547737166629,18.86509584486112,1.4220197571335589,-0.0664176623494314,0.1871593298425923,,-4.695640348385616,2.53153971870616,0.1767144080151633,,,,,,,,,,,
rel-ratebeer,user-count,relbench_v2_regression,tabpfn_regressor,fdhg_no_gate,True,17.0,48.56688657108294,5.326274851383777,21.39663556356728,4.59907777238139,0.1102967456657318,0.1992738440868947,,-4.695640348385616,2.53153971870616,0.1767144080151633,,,,,,,,,,,
rel-ratebeer,user-count,relbench_v2_regression,tabpfn_regressor,fdhg_v2_gated,True,17.0,48.56688657108294,5.326274851383777,21.39663556356728,4.59907777238139,0.1102967456657318,0.1992738440868947,select_fdhg_residual,-4.695640348385616,2.53153971870616,0.1767144080151633,,,,,,,,,,,
rel-ratebeer,user-place-liked_pairwise,pairwise_recommendation_adapter,tabpfn_classifier,dfs_base,True,10.0,,,,,,,,,,,0.5568190568190569,0.0016520485642154,0.5326131043677267,0.0020903408753375,0.496625,0.0019311050377093,1.0889027886723532,0.0173915596319618,-0.0057015057015057,-0.0060635964495951,0.0238619841059806
rel-ratebeer,user-place-liked_pairwise,pairwise_recommendation_adapter,tabpfn_classifier,fdhg_no_gate,False,18.0,,,,,,,,,,,0.5511175511175511,0.0009814838731669,0.5265495079181315,0.001234681611474,0.492,0.0034156502553198,1.112764772778334,0.0234344553891076,-0.0057015057015057,-0.0060635964495951,0.0238619841059806
rel-ratebeer,user-place-liked_pairwise,pairwise_recommendation_adapter,tabpfn_classifier,fdhg_v2_gated,True,10.0,,,,,,,reject_fdhg_residual_fallback_to_dfs,,,,0.5568190568190569,0.0016520485642154,0.5326131043677267,0.0020903408753375,0.496625,0.0019311050377093,1.0889027886723532,0.0173915596319618,-0.0057015057015057,-0.0060635964495951,0.0238619841059806
rel-ratebeer,user-churn,relbench_v2_binary_classification,tabpfn_classifier,dfs_base,True,9.0,,,,,,,,,,,0.7806783337113545,0.0002903691580843,0.8460610296163154,0.0011618356491393,0.7075,0.0017795130420052,0.5766863242930735,0.0004190421661722,-0.0005095108695651,-0.0018124524948498,-0.0004077420147968
rel-ratebeer,user-churn,relbench_v2_binary_classification,tabpfn_classifier,fdhg_no_gate,False,17.0,,,,,,,,,,,0.7801688228417893,0.0006250370482406,0.8442485771214655,0.001767744619159,0.707375,0.0018874586088176,0.5762785822782767,0.0010055208583822,-0.0005095108695651,-0.0018124524948498,-0.0004077420147968
rel-ratebeer,user-churn,relbench_v2_binary_classification,tabpfn_classifier,fdhg_v2_gated,True,9.0,,,,,,,reject_fdhg_residual_fallback_to_dfs,,,,0.7806783337113545,0.0002903691580843,0.8460610296163154,0.0011618356491393,0.7075,0.0017795130420052,0.5766863242930735,0.0004190421661722,-0.0005095108695651,-0.0018124524948498,-0.0004077420147968
rel-ratebeer,beer-churn,relbench_v2_binary_classification,tabpfn_classifier,dfs_base,False,9.0,,,,,,,,,,,0.7180368036651759,0.0003324859742922,0.7050811546549642,0.0002467693789701,0.6383749999999999,0.0002499999999999,0.660660584099654,0.0004556081302618,0.0027110068701796,0.0030398298237586,-0.0025574541479759
rel-ratebeer,beer-churn,relbench_v2_binary_classification,tabpfn_classifier,fdhg_no_gate,True,17.0,,,,,,,,,,,0.7207478105353555,0.0005883817362297,0.7081209844787228,0.0001824408377164,0.633375,0.0061559591724875,0.6581031299516781,0.0005086413881298,0.0027110068701796,0.0030398298237586,-0.0025574541479759
rel-ratebeer,beer-churn,relbench_v2_binary_classification,tabpfn_classifier,fdhg_v2_gated,True,17.0,,,,,,,select_fdhg_residual,,,,0.7207478105353555,0.0005883817362297,0.7081209844787228,0.0001824408377164,0.633375,0.0061559591724875,0.6581031299516781,0.0005086413881298,0.0027110068701796,0.0030398298237586,-0.0025574541479759
