seed_dir,k,n_candidates,n_label_program_features,recovered,missing,ProgramRecall@K,topk_features
minimal_seed41,128,11,4,"event_count,rating_mean,brand_category_entropy,price",,1.0,"event_count,rating_mean,brand_category_entropy,price,amount_mean,days_since_last_event,brand_category_majconf,brand_category_conflict_count,brand_category_support_count,brand,category"
minimal_seed42,128,11,4,"event_count,rating_mean,brand_category_entropy,price",,1.0,"event_count,rating_mean,brand_category_entropy,price,amount_mean,days_since_last_event,brand_category_majconf,brand_category_conflict_count,brand_category_support_count,brand,category"
minimal_seed43,128,11,4,"event_count,rating_mean,brand_category_entropy,price",,1.0,"event_count,rating_mean,brand_category_entropy,price,amount_mean,days_since_last_event,brand_category_majconf,brand_category_conflict_count,brand_category_support_count,brand,category"
minimal_seed44,128,11,4,"event_count,rating_mean,brand_category_entropy,price",,1.0,"event_count,rating_mean,brand_category_entropy,price,amount_mean,days_since_last_event,brand_category_majconf,brand_category_conflict_count,brand_category_support_count,brand,category"
minimal_seed45,128,11,4,"event_count,rating_mean,brand_category_entropy,price",,1.0,"event_count,rating_mean,brand_category_entropy,price,amount_mean,days_since_last_event,brand_category_majconf,brand_category_conflict_count,brand_category_support_count,brand,category"
minimal_seed46,128,11,4,"event_count,rating_mean,brand_category_entropy,price",,1.0,"event_count,rating_mean,brand_category_entropy,price,amount_mean,days_since_last_event,brand_category_majconf,brand_category_conflict_count,brand_category_support_count,brand,category"
minimal_seed47,128,11,4,"event_count,rating_mean,brand_category_entropy,price",,1.0,"event_count,rating_mean,brand_category_entropy,price,amount_mean,days_since_last_event,brand_category_majconf,brand_category_conflict_count,brand_category_support_count,brand,category"
minimal_seed48,128,11,4,"event_count,rating_mean,brand_category_entropy,price",,1.0,"event_count,rating_mean,brand_category_entropy,price,amount_mean,days_since_last_event,brand_category_majconf,brand_category_conflict_count,brand_category_support_count,brand,category"
minimal_seed49,128,11,4,"event_count,rating_mean,brand_category_entropy,price",,1.0,"event_count,rating_mean,brand_category_entropy,price,amount_mean,days_since_last_event,brand_category_majconf,brand_category_conflict_count,brand_category_support_count,brand,category"
minimal_seed50,128,11,4,"event_count,rating_mean,brand_category_entropy,price",,1.0,"event_count,rating_mean,brand_category_entropy,price,amount_mean,days_since_last_event,brand_category_majconf,brand_category_conflict_count,brand_category_support_count,brand,category"
minimal_seed51,128,11,4,"event_count,rating_mean,brand_category_entropy,price",,1.0,"event_count,rating_mean,brand_category_entropy,price,amount_mean,days_since_last_event,brand_category_majconf,brand_category_conflict_count,brand_category_support_count,brand,category"
minimal_seed52,128,11,4,"event_count,rating_mean,brand_category_entropy,price",,1.0,"event_count,rating_mean,brand_category_entropy,price,amount_mean,days_since_last_event,brand_category_majconf,brand_category_conflict_count,brand_category_support_count,brand,category"
minimal_seed53,128,11,4,"event_count,rating_mean,brand_category_entropy,price",,1.0,"event_count,rating_mean,brand_category_entropy,price,amount_mean,days_since_last_event,brand_category_majconf,brand_category_conflict_count,brand_category_support_count,brand,category"
minimal_seed54,128,11,4,"event_count,rating_mean,brand_category_entropy,price",,1.0,"event_count,rating_mean,brand_category_entropy,price,amount_mean,days_since_last_event,brand_category_majconf,brand_category_conflict_count,brand_category_support_count,brand,category"
minimal_seed55,128,11,4,"event_count,rating_mean,brand_category_entropy,price",,1.0,"event_count,rating_mean,brand_category_entropy,price,amount_mean,days_since_last_event,brand_category_majconf,brand_category_conflict_count,brand_category_support_count,brand,category"
minimal_seed56,128,11,4,"event_count,rating_mean,brand_category_entropy,price",,1.0,"event_count,rating_mean,brand_category_entropy,price,amount_mean,days_since_last_event,brand_category_majconf,brand_category_conflict_count,brand_category_support_count,brand,category"
minimal_seed57,128,11,4,"event_count,rating_mean,brand_category_entropy,price",,1.0,"event_count,rating_mean,brand_category_entropy,price,amount_mean,days_since_last_event,brand_category_majconf,brand_category_conflict_count,brand_category_support_count,brand,category"
minimal_seed58,128,11,4,"event_count,rating_mean,brand_category_entropy,price",,1.0,"event_count,rating_mean,brand_category_entropy,price,amount_mean,days_since_last_event,brand_category_majconf,brand_category_conflict_count,brand_category_support_count,brand,category"
minimal_seed59,128,11,4,"event_count,rating_mean,brand_category_entropy,price",,1.0,"event_count,rating_mean,brand_category_entropy,price,amount_mean,days_since_last_event,brand_category_majconf,brand_category_conflict_count,brand_category_support_count,brand,category"
minimal_seed60,128,11,4,"event_count,rating_mean,brand_category_entropy,price",,1.0,"event_count,rating_mean,brand_category_entropy,price,amount_mean,days_since_last_event,brand_category_majconf,brand_category_conflict_count,brand_category_support_count,brand,category"
